datetime,Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3
2006-12-31,1.9015369158028732,0.13139952718676123,241.44083469721767,8.030969267139481,1.2518639752682306,2.2163120567375887,7.409847244953628
2007-01-31,1.5460849014336917,0.13268284050179213,240.9048313172043,6.547132616487455,1.2641801075268817,1.7758512544802867,7.383758960573477
2007-02-28,1.401165128968254,0.11363412698412699,240.51917708333335,5.914910714285715,1.1801587301587302,1.602281746031746,6.70406746031746
2007-03-31,1.3186060483870967,0.11474713261648745,240.5135241935484,5.572889784946236,1.361312724014337,2.3468189964157706,6.504502688172043
2007-04-30,0.8567866203703703,0.1264670833333333,239.12769328703703,3.685574074074074,0.9740277777777778,0.8892824074074074,4.386643518518518
2007-05-31,0.9858618279569893,0.11534260752688173,235.17836379928315,4.297464157706093,1.6966173835125449,1.6158602150537635,5.1399641577060935
2007-06-30,0.8268867592592593,0.14635546296296295,238.87748032407407,3.603717592592593,1.3813194444444445,1.619074074074074,4.372731481481481
2007-07-31,0.6681333333333334,0.12849820788530467,237.6786563620072,2.949121863799283,0.964426523297491,1.2484991039426523,3.4683019713261647
2007-08-31,0.7639092293906811,0.11282186379928316,237.93663239247311,3.3115367383512546,0.8120743727598566,1.1136424731182795,5.0502240143369175
2007-09-30,0.9694415277777778,0.12601888888888887,239.42394814814816,4.175129629629629,1.2231712962962964,1.7425694444444444,5.2409490740740745
2007-10-31,1.1039454749103943,0.09345846774193547,239.72590748207884,4.677316308243728,0.9681451612903226,1.969399641577061,5.736559139784946
2007-11-30,1.2944963425925926,0.09655175925925925,240.86930810185183,5.446037037037037,1.1765046296296295,1.7052314814814815,6.9376851851851855
2007-12-31,1.626467876344086,0.11090008960573476,241.72578225806453,6.819529569892473,1.6597222222222223,1.8577732974910395,8.118794802867383
2008-01-31,1.459987365591398,0.08756151433691757,240.64617495519713,6.182007168458781,1.3835349462365591,1.4093189964157706,6.993548387096774
2008-02-29,1.1814650383141763,0.08716824712643678,240.60272796934865,4.974592911877394,0.9633860153256705,1.3564655172413793,6.129549808429119
2008-03-31,1.2453449372759855,0.10151312724014337,241.32535819892473,5.234865591397849,1.4137544802867383,1.7759408602150537,6.265412186379928
